84,7D,79,95,73,51,91,85,75,8A,60,A4,81,A4,6C,71
7A,76,74,73,6D,9E,89,7D,7B,8A,84,83,7A,49,66,7B
71,78,75,5D,90,6F,84,58,79,6D,98,82,78,79,75,76
74,88,84,69,6A,80,72,84,84,69,69,93,6E,73,83,6C
84,74,76,83,A4,5E,9D,60,A0,96,7F,70,76,6F,6E,98
74,81,A0,82,7E,93,8F,88,6E,83,76,7A,8F,8E,6F,95
8D,76,91,75,9D,7D,80,68,97,7C,6B,76,5D,89,A4,9C
99,80,88,80,8C,7D,8D,80,51,78,63,77,57,7D,80,82
9C,6D,90,8F,90,83,A4,96,80,7F,42,6D,7F,8A,86,50
7D,78,70,5D,69,6F,63,69,8F,72,82,7E,77,6C,A5,98
A7,64,8A,75,6B,82,8A,80,86,64,89,82,71,85,80,81
9E,B8,78,87,7D,90,83,7A,79,89,6A,79,90,94,85,9A
65,68,5A,79,6A,8F,76,94,91,8D,7C,96,62,7B,8C,9F
78,7C,A3,88,9C,9D,69,88,66,8A,8E,92,7C,7B,83,73
7C,6C,7A,79,8B,82,67,79,90,85,72,80,87,96,85,91
79,91,9D,6A,89,87,7B,74,6B,77,8C,83,83,70,74,7C
7E,7D,6B,7E,94,68,94,76,64,92,71,66,71,6C,60,8E
74,7C,76,A3,75,6B,7F,87,86,A5,86,7D,69,86,85,87
93,72,97,68,83,8A,83,86,64,8F,69,8C,91,86,86,B8
97,86,6F,8F,81,88,84,6C,83,79,8B,7D,6C,89,85,75
9F,87,6F,61,86,70,82,86,73,78,89,70,8C,84,90,87
76,A3,8D,94,70,6B,86,60,70,7C,94,80,91,78,62,7C
A4,7F,5E,A5,9D,5A,97,75,66,6F,91,78,6D,9F,6F,6B
77,80,7E,7C,92,70,9C,7E,75,84,85,83,72,6B,87,7F
AA,87,84,72,85,8E,7B,92,5E,76,4B,87,70,71,5F,6F
85,83,7E,7F,56,89,7A,86,67,8F,79,88,8D,86,75,5F
63,6D,7A,8D,89,A7,65,73,76,6E,86,7A,71,81,9D,97
83,63,78,7B,98,6C,71,97,82,92,6E,74,68,88,7F,7A
84,7C,90,77,75,64,8D,76,93,8D,87,80,7B,8E,84,71
89,6A,8F,6C,76,80,7E,6F,94,89,52,AD,89,8D,82,70
74,8B,73,8F,6F,7C,A0,90,7C,6A,9A,8D,8B,88,6B,6E
8A,75,9C,86,5C,70,7D,7C,B6,84,79,66,9E,86,8C,75
7C,6B,6A,8E,8C,7B,6A,6A,7A,7B,94,97,5D,85,6A,75
78,86,9A,67,5E,76,68,77,97,9F,82,9C,79,78,88,76
8E,8F,7C,6C,62,83,8A,9C,82,71,7E,86,8D,67,68,7B
72,9A,79,90,7F,74,78,98,77,91,91,71,80,7B,7B,67
80,71,A1,7B,76,79,65,8A,74,7F,58,67,9E,7D,81,8D
7D,7D,80,A4,7A,94,84,56,61,74,89,8C,A3,7B,68,81
5B,7B,73,76,86,85,86,75,91,76,8D,8F,56,98,7C,64
83,70,82,7B,8A,6D,87,7F,9B,78,71,69,78,7A,80,74
97,A3,8F,A5,7F,84,8C,7C,A1,80,7C,8B,76,67,92,94
7A,59,86,77,7D,B3,7E,7A,90,8E,9B,95,70,86,72,8E
66,96,76,9A,7E,75,81,56,64,6C,5A,65,8A,82,A5,8B
80,6C,86,87,A0,86,6E,8F,89,8E,83,89,8E,85,9B,8A
92,96,86,79,79,A3,6E,91,90,8A,7C,93,7C,82,88,71
92,76,6E,70,6B,69,69,8E,87,7F,88,94,52,8E,91,7B
7E,A0,9A,9A,91,8D,80,87,82,86,78,95,91,7F,9E,87
A1,6D,80,58,67,80,75,84,88,71,A2,95,62,79,95,79
98,9B,6C,80,92,87,93,72,A0,80,91,71,92,7A,89,77
76,52,7A,71,7A,6F,71,60,7F,8E,81,87,7D,75,4D,74
5E,48,85,7A,85,71,71,73,95,93,6D,85,83,8B,87,6B
79,60,6D,67,80,83,A7,75,5D,6C,71,83,62,7E,67,72
7D,84,87,82,71,74,96,6F,7B,94,93,7E,82,7D,70,99
8E,74,65,61,81,81,72,8A,89,77,8C,85,7D,6B,8D,80
72,68,97,86,98,82,82,8D,90,94,6B,5A,71,84,77,8E
97,84,8F,82,96,8B,91,7A,8A,72,81,80,75,87,81,8F
91,95,83,9B,8C,7F,A5,78,88,82,88,8C,84,7C,76,92
76,99,94,8A,87,7D,98,62,9A,87,79,7A,7F,81,93,85
8C,71,A8,6F,7D,71,82,6B,A7,72,83,8C,97,6F,8B,78
A4,9A,99,4F,80,71,8B,A0,7D,83,70,8C,7A,77,7B,A4
7D,8A,6A,7E,5B,73,6D,6D,72,79,99,90,92,84,71,63
85,82,72,85,85,8D,98,6B,7D,60,85,75,90,6D,8B,6C
73,75,92,88,82,79,78,88,6D,79,69,69,7F,7C,72,6A
8D,7B,64,7F,76,88,67,82,6C,85,A4,A1,62,8A,7F,69
6A,87,75,75,86,72,76,9B,7C,67,66,80,88,86,6F,82
7C,89,67,6D,7E,91,70,74,8A,90,94,68,6E,84,88,7B
74,58,8D,98,7E,86,91,76,76,6D,71,81,66,8B,8C,A1
78,67,65,7A,90,78,7C,82,82,83,88,7F,86,8F,77,8F
